FIELD_NAME	FIELD_TYPE	FIELD_LEN	FIELD_DEC	FIELD_LABL	QUEST_LOC	MISSING	NOTAPPL	DEFAULT	FIELD_VALI	FIELD_CODE	FIELD_EDIT	FIELD_CARR	ORDER_SCRN	ORDER_FILE	COMMENT1	MEAS_CLASS	IDBOOK	FMT	VALID_VAL	MIN_MAX	FILTER_VAR	FILTER_CND	CONFIRMED
M032760C	C	2	0	RED&BLACKTILES_SHAPE WITH 44 TILES (1)	(M01_04C)	99	98	97	M032760C$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	11	11	ALGEBRA\REASONING (T) (M01_04)	SA	1,14		10;79;				
M032761	C	2	0	RED&BLACKTILES_FIGURE N (2)	(M01_05)	99	98	97	M032761$'20#21#10#11#70#79#99#98#96'	CORRECT RESPONSE:20;CORRECT RESPONSE:21;PARTIALLY CORRECT RESPONSE:10;PARTIALLY CORRECT RESPONSE:11;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	12	12	ALGEBRA\REASONING (T) (M01_05)	SA	1,14		20;21;10;11;70;79;				
M032692	C	2	0	INTERIOR ANGLES OF PENTAGON (2)	(M01_06)	99	98	97	M032692$'20#10#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	13	13	GEOMETRY\REASONING (T) (M01_06)	SA	1,14		20;10;79;				
M032626	C	1	0	36 AS A PRODUCT OF PRIME FACTORS (D)	(M01_07)	9	8	7	M032626$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	14	14	NUMBER\KNOWING (T) (M01_07)	M4	1,14		1;2;3;4;				
M032595	C	1	0	THE PERCENTAGE OF CAPS FOR SALE (C)	(M01_08)	9	8	7	M032595$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	15	15	NUMBER\APPLYING (T) (M01_08)	M3	1,14		1;2;3;4;				
M032673	C	1	0	IF T IS A NUMBER BETWEEN 6 AND 9 (C)	(M01_09)	9	8	7	M032673$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	16	16	ALGEBRA\KNOWING (T) (M01_09)	M3	1,14		1;2;3;4;				
M052216	C	1	0	SELECT THE DECIMAL EQUAL TO 3/5 (B)	(M02_01)	9	8	7	M052216$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	17	17	NUMBER\KNOWING (M02_01)	M2	1,2		1;2;3;4;				
M052231	C	2	0	ADD 42.65 TO 5.748 (1)	(M02_02)	99	98	97	M052231$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	18	18	NUMBER\KNOWING (M02_02)	SA	1,2		10;70;79;				
M052061	C	2	0	PACKING EGGS INTO BOXES (1)	(M02_03)	99	98	97	M052061$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	19	19	NUMBER\APPLYING (M02_03)	SA	1,2		10;70;79;				
M052228	C	1	0	METHOD FOR SUBTRACTING FRACTIONS (D)	(M02_04)	9	8	7	M052228$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	20	20	NUMBER\APPLYING (M02_04)	M4	1,2		1;2;3;4;				
M052214	C	1	0	WHICH NUMBER SENTENCE IS TRUE (D)	(M02_05)	9	8	7	M052214$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	21	21	NUMBER\KNOWING (M02_05)	M4	1,2		1;2;3;4;				
M052173	C	1	0	AREA OF GARDEN'S SHADED PORTION (A)	(M02_06)	9	8	7	M052173$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	22	22	ALGEBRA\APPLYING (M02_06)	M1	1,2		1;2;3;4;				
M052302	C	1	0	VALUE OF Y IN AN EXPRESSION (A)	(M02_07)	9	8	7	M052302$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	23	23	ALGEBRA\KNOWING (M02_07)	M1	1,2		1;2;3;4;				
M052002	C	2	0	LENGTH OF THE LONGEST WOOD PIECE (2)	(M02_08)	99	98	97	M052002$'20#10#11#12#70#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;PARTIALLY CORRECT RESPONSE:11;PARTIALLY CORRECT RESPONSE:12;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	24	24	ALGEBRA\APPLYING (M02_08)	SA	1,2		20;10;11;12;70;79;				
M052362	C	2	0	WHAT IS THE SIZE OF ANGLE B (1)	(M02_09)	99	98	97	M052362$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	25	25	GEOMETRY\REASONING (M02_09)	SA	1,2		10;79;				
M052408	C	2	0	VALUE OF ANGLE B (1)	(M02_10)	99	98	97	M052408$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	26	26	GEOMETRY\REASONING (M02_10)	SA	1,2		10;79;				
M052084	C	1	0	CALCULATE THE AREA OF A SQUARE (A)	(M02_11)	9	8	7	M052084$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	27	27	GEOMETRY\APPLYING (M02_11)	M1	1,2		1;2;3;4;				
M052206	C	2	0	NUMBER OF BOOKS TO FILL THE BOX (1)	(M02_12)	99	98	97	M052206$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	28	28	GEOMETRY\REASONING (M02_12)	SA	1,2		10;79;				
M052429	C	1	0	PROBABILITY THAT THE MARBLE IS RED (A)	(M02_13)	9	8	7	M052429$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	29	29	DATA AND CHANCE\REASONING (M02_13)	M1	1,2		1;2;3;4;				
M052503A	C	2	0	AGE STRUCTURES OF COUNTRY X AND Y (1)	(M02_14A)	99	98	97	M052503A$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	30	30	DATA AND CHANCE\REASONING (M02_14)	SA	1,2		10;79;				
M052503B	C	2	0	PROBLEM OF TAKING CARE OF ELDERLY (1)	(M02_14B)	99	98	97	M052503B$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	31	31	DATA AND CHANCE\REASONING (M02_14)	SA	1,2		10;79;				
M042032	C	1	0	EQUIVALENT FRACTION FOR 0.125 (B)	(M03_01)	9	8	7	M042032$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	32	32	NUMBER\KNOWING (T) (M03_01)	M2	2,3		1;2;3;4;				
M042031	C	1	0	EQUIVALENT EXPRESSION (A)	(M03_02)	9	8	7	M042031$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	33	33	NUMBER\APPLYING (T) (M03_02)	M1	2,3		1;2;3;4;				
M042186	C	2	0	NEXT LINE IN THE PATTERN (1)	(M03_03)	99	98	97	M042186$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	34	34	NUMBER\REASONING (T) (M03_03)	SA	2,3		10;79;				
M042059	C	2	0	COMPLETE THE MISSING BOXES (2)	(M03_04)	99	98	97	M042059$'20#10#11#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;PARTIALLY CORRECT RESPONSE:11;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	35	35	NUMBER\KNOWING (T) (M03_04)	SA	2,3		20;10;11;79;				
M042236	C	1	0	SIMPLIFY THE EXPRESSION (C)	(M03_05)	9	8	7	M042236$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	36	36	ALGEBRA\KNOWING (T) (M03_05)	M3	2,3		1;2;3;4;				
M042226	C	2	0	WHAT IS THE VALUE P (1)	(M03_06)	99	98	97	M042226$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	37	37	ALGEBRA\KNOWING (T) (M03_06)	SA	2,3		10;79;				
M042103	C	2	0	SOLVE THE INEQUALITY (1)	(M03_07)	99	98	97	M042103$'10#70#71#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:71;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	38	38	ALGEBRA\KNOWING (T) (M03_07)	SA	2,3		10;70;71;79;				
M042086	C	2	0	WHAT IS THE VALUE OF 2A + 2B + 4 (1)	(M03_08)	99	98	97	M042086$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	39	39	ALGEBRA\APPLYING (T) (M03_08)	SA	2,3		10;70;79;				
M042228	C	2	0	VALUE OF X IN THE PATTERN (1)	(M03_09)	99	98	97	M042228$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	40	40	ALGEBRA\REASONING (T) (M03_09)	SA	2,3		10;70;79;				
M042245	C	1	0	EQUATION THAT SATISFY NUMBER PAIRS (D)	(M03_10)	9	8	7	M042245$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	41	41	ALGEBRA\APPLYING (T) (M03_10)	M4	2,3		1;2;3;4;				
M042270	C	2	0	DRAW AN ISOSCELES TRIANGLE (1)	(M03_11)	99	98	97	M042270$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	42	42	GEOMETRY\APPLYING (T) (M03_11)	SA	2,3		10;79;				
M042201	C	2	0	LENGTH OF THE RECTANGULAR BOX (1)	(M03_12)	99	98	97	M042201$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	43	43	GEOMETRY\APPLYING (T) (M03_12)	SA	2,3		10;79;				
M042152	C	1	0	HALF-TURN AROUND POINT O (D)	(M03_13)	9	8	7	M042152$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	44	44	GEOMETRY\KNOWING (T) (M03_13)	M4	2,3		1;2;3;4;				
M042269	C	1	0	LONG JUMP COMPETITION (C)	(M03_14)	9	8	7	M042269$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	45	45	DATA AND CHANCE\REASONING (T) (M03_14)	M3	2,3		1;2;3;4;				
M042179	C	1	0	CHANCE OF GETTING A BUTTON (D)	(M03_15)	9	8	7	M042179$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	46	46	DATA AND CHANCE\APPLYING (T) (M03_15)	M4	2,3		1;2;3;4;				
M042177	C	1	0	NUMBER OF REGULAR SIZE BOTTLES (C)	(M03_16)	9	8	7	M042177$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	47	47	DATA AND CHANCE\APPLYING (T) (M03_16)	M3	2,3		1;2;3;4;				
M042207	C	2	0	COMPLETE AND LABEL THIS PIE CHART (2)	(M03_17)	99	98	97	M042207$'20#10#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	48	48	DATA AND CHANCE\APPLYING (T) (M03_17)	SA	2,3		20;10;79;				
M052209	C	1	0	DECIMAL CLOSEST IN SIZE TO 3/4. (C)	(M04_01)	9	8	7	M052209$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	49	49	NUMBER\KNOWING (M04_01)	M3	3,4		1;2;3;4;				
M052142	C	1	0	HEIGHT OF A STACK OF STOOLS (A)	(M04_02)	9	8	7	M052142$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	50	50	NUMBER\APPLYING (M04_02)	M1	3,4		1;2;3;4;				
M052006	C	1	0	WHICH STATEMENT ABOUT X IS TRUE (D)	(M04_03)	9	8	7	M052006$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	51	51	NUMBER\REASONING (M04_03)	M4	3,4		1;2;3;4;				
M052035	C	2	0	COMPARE SIZE OF DECIMAL NUMBERS (1)	(M04_04)	99	98	97	M052035$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	52	52	NUMBER\KNOWING (M04_04)	SA	3,4		10;79;				
M052016	C	2	0	MILK NEEDED IN CAKE RECIPE (1)	(M04_05)	99	98	97	M052016$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	53	53	NUMBER\APPLYING (M04_05)	SA	3,4		10;79;				
M052064	C	1	0	VALUE OF THE GIVEN EXPRESSION (C)	(M04_06)	9	8	7	M052064$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	54	54	ALGEBRA\KNOWING (M04_06)	M3	3,4		1;2;3;4;				
M052126	C	2	0	EXPRESSION FOR THE SHADED AREA (1)	(M04_07)	99	98	97	M052126$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	55	55	ALGEBRA\APPLYING (M04_07)	SA	3,4		10;79;				
M052103	C	1	0	VALUE OF Y WHEN X = 25 (B)	(M04_08)	9	8	7	M052103$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	56	56	ALGEBRA\KNOWING (M04_08)	M2	3,4		1;2;3;4;				
M052066	C	1	0	FORMULA FOR THE NEW RECTANGLE (C)	(M04_09)	9	8	7	M052066$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	57	57	ALGEBRA\APPLYING (M04_09)	M3	3,4		1;2;3;4;				
M052041	C	2	0	HEIGHT OF THE BUILDING (1)	(M04_10)	99	98	97	M052041$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	58	58	GEOMETRY\REASONING (M04_10)	SA	3,4		10;79;				
M052057	C	1	0	FIGURE THAT CAN BE FOLDED AS BOX (D)	(M04_11)	9	8	7	M052057$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	59	59	GEOMETRY\REASONING (M04_11)	M4	3,4		1;2;3;4;				
M052417	C	2	0	VALUE OF ANGLE X IN FIGURE (1)	(M04_12)	99	98	97	M052417$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	60	60	GEOMETRY\APPLYING (M04_12)	SA	3,4		10;79;				
M052501	C	2	0	SPORTS SURVEY BAR GRAPH MISTAKE (1)	(M04_13)	99	98	97	M052501$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	61	61	DATA AND CHANCE\REASONING (M04_13)	SA	3,4		10;79;				
M052410	C	1	0	STUDENTS THAT CHOSE HISTORY (B)	(M04_14)	9	8	7	M052410$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	62	62	DATA AND CHANCE\APPLYING (M04_14)	M2	3,4		1;2;3;4;				
M052170	C	1	0	LIST WITH SPECIFIED MEAN AND RANGE (B)	(M04_15)	9	8	7	M052170$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	63	63	DATA AND CHANCE\APPLYING (M04_15)	M2	3,4		1;2;3;4;				
M032094	C	1	0	4/100 PLUS 3/1000 (A)	(M05_01)	9	8	7	M032094$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	64	64	NUMBER\KNOWING (T) (M05_01)	M1	4,5		1;2;3;4;				
M032662	C	1	0	LOCATION OF N ON NUMBER LINE (D)	(M05_02)	9	8	7	M032662$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	65	65	NUMBER\REASONING (T) (M05_02)	M4	4,5		1;2;3;4;				
M032064	C	2	0	ANN AND JENNY DIVIDE 560 ZEDS (1)	(M05_03)	99	98	97	M032064$'10#70#71#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:71;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	66	66	NUMBER\APPLYING (T) (M05_03)	SA	4,5		10;70;71;79;				
M032419	C	1	0	WHICH REPRESENTS 2X PLUS 3X (C)	(M05_04)	9	8	7	M032419$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	67	67	ALGEBRA\KNOWING (T) (M05_04)	M3	4,5		1;2;3;4;				
M032477	C	1	0	COST IN ZEDS FOR TAXI TRIP OF N KM (A)	(M05_05)	9	8	7	M032477$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	68	68	ALGEBRA\KNOWING (T) (M05_05)	M1	4,5		1;2;3;4;				
M032538	C	2	0	FIND THE VALUE OF Y WHEN T IS 9 (1)	(M05_06)	99	98	97	M032538$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	69	69	ALGEBRA\KNOWING (T) (M05_06)	SA	4,5		10;70;79;				
M032324	C	1	0	DISTANCE BETWEEN THE MIDPOINTS (D)	(M05_07)	9	8	7	M032324$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	70	70	GEOMETRY\REASONING (T) (M05_07)	M4	4,5		1;2;3;4;				
M032116	C	1	0	AREA OF A SQUARE IS 144 SQUARE CM (B)	(M05_08)	9	8	7	M032116$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	71	71	GEOMETRY\APPLYING (T) (M05_08)	M2	4,5		1;2;3;4;				
M032100	C	1	0	SHAPE MADE UP OF SAME SIZE CUBES (D)	(M05_09)	9	8	7	M032100$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	72	72	GEOMETRY\APPLYING (T) (M05_09)	M4	4,5		1;2;3;4;				
M032402	C	1	0	WHY PQR IS A RIGHT ANGLE TRIANGLE (A)	(M05_10)	9	8	7	M032402$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	73	73	GEOMETRY\REASONING (T) (M05_10)	M1	4,5		1;2;3;4;				
M032734	C	2	0	VIEW OF SHAPE DIRECTLY FROM ABOVE (1)	(M05_11)	99	98	97	M032734$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	74	74	GEOMETRY\KNOWING (T) (M05_11)	SA	4,5		10;79;				
M032397	C	1	0	FIGURE 1 TRANSFORMED TO 2 AND 3 (B)	(M05_12)	9	8	7	M032397$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	75	75	GEOMETRY\KNOWING (T) (M05_12)	M2	4,5		1;2;3;4;				
M032695	C	2	0	MAKE A PIE CHART WITH LABELS (2)	(M05_13)	99	98	97	M032695$'20#10#11#70#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;PARTIALLY CORRECT RESPONSE:11;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	76	76	DATA AND CHANCE\APPLYING (T) (M05_13)	SA	4,5		20;10;11;70;79;				
M032132	C	1	0	HOW LIKELY TO GET PINK CANDY (D)	(M05_14)	9	8	7	M032132$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	77	77	DATA AND CHANCE\KNOWING (T) (M05_14)	M4	4,5		1;2;3;4;				
M042041	C	1	0	LENGTH OF THE ORIGINAL PIPE (C)	(M06_01)	9	8	7	M042041$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	78	78	NUMBER\APPLYING (T) (M06_01)	M3	5,6		1;2;3;4;				
M042024	C	1	0	WHAT IS K ON A NUMBER  LINE (B)	(M06_02)	9	8	7	M042024$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	79	79	NUMBER\KNOWING (T) (M06_02)	M2	5,6		1;2;3;4;				
M042016	C	1	0	EXPRESS 256 X 4096 AS POWER OF 4 (A)	(M06_03)	9	8	7	M042016$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	80	80	NUMBER\APPLYING (T) (M06_03)	M1	5,6		1;2;3;4;				
M042002	C	2	0	NUMBERS TO GET GREATEST RESULTS (1)	(M06_04)	99	98	97	M042002$'10#70#71#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:71;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	81	81	NUMBER\REASONING (T) (M06_04)	SA	5,6		10;70;71;79;				
M042198A	C	2	0	NEXT TERM IN THE PATTERN (1)	(M06_05A)	99	98	97	M042198A$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	82	82	ALGEBRA\KNOWING (T) (M06_05)	SA	5,6		10;79;				
M042198B	C	2	0	TERM NUMBER 100 IN THE PATTERN (1)	(M06_05B)	99	98	97	M042198B$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	83	83	ALGEBRA\REASONING (T) (M06_05)	SA	5,6		10;70;79;				
M042198C	C	2	0	TERM NUMBER N IN THE PATTERN (1)	(M06_05C)	99	98	97	M042198C$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	84	84	ALGEBRA\REASONING (T) (M06_05)	SA	5,6		10;70;79;				
M042077	C	1	0	EXPRESSION TO EQUIVALENT TO 4(3+X) (C)	(M06_06)	9	8	7	M042077$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	85	85	ALGEBRA\KNOWING (T) (M06_06)	M3	5,6		1;2;3;4;				
